timestamp,type,ip_or_domain,details
2025-11-02T21:34:03.179319+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:05.649183+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:06.650662+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:07.654888+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:08.660874+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:09.661582+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:11.032324+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:12.047653+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:13.050843+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:14.053632+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:34:15.055983+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:21.682791+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:22.686562+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:23.687294+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:24.690162+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:25.694568+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:27.015579+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:28.015366+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:29.016308+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:30.017514+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:31.020657+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:33.291430+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
2025-11-02T21:35:34.290846+05:30,ARP_SPOOF_SUSPECT,192.168.1.1,MACs:00:11:22:33:44:55;88:99:aa:bb:cc:dd;11:22:33:44:55:66;22:33:44:55:66:77;66:77:88:99:aa:bb;aa:bb:cc:dd:ee:ff
